sample_ID,lat_N_dd,long_E_dd,species,d18O_mean,d18O_std,d17O_mean,d17O_std,reference,notes
ST99-1,32.875,-117.241,H2O2_trop,25.4,,14.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-2,32.875,-117.241,H2O2_trop,31.7,,17.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-3,32.875,-117.241,H2O2_trop,26.7,,15.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-4,32.875,-117.241,H2O2_trop,38.7,,21.9,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-5,32.875,-117.241,H2O2_trop,36.5,,20.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-6,32.875,-117.241,H2O2_trop,34.9,,19.3,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-7,32.875,-117.241,H2O2_trop,37.4,,21.1,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-8,32.875,-117.241,H2O2_trop,32.8,,18.6,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-9,32.875,-117.241,H2O2_trop,29.7,,16.7,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-10,32.875,-117.241,H2O2_trop,28.1,,16.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-11,32.875,-117.241,H2O2_trop,28.3,,16,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-12,32.875,-117.241,H2O2_trop,46.6,,25.3,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-13,32.875,-117.241,H2O2_trop,45.8,,24.9,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-14,32.875,-117.241,H2O2_trop,38.4,,21,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-15,32.875,-117.241,H2O2_trop,44.6,,25.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-16,32.875,-117.241,H2O2_trop,52.6,,28.4,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-17,32.875,-117.241,H2O2_trop,51.6,,27.9,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-18,32.875,-117.241,H2O2_trop,44.3,,24.1,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-19,32.875,-117.241,H2O2_trop,34.6,,19.1,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-20,32.875,-117.241,H2O2_trop,26.9,,15.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-21,32.875,-117.241,H2O2_trop,43.7,,23.9,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-22,32.875,-117.241,H2O2_trop,42,,23.1,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-23,32.875,-117.241,H2O2_trop,32.8,,18.2,,Savarino and Thiemens (1999) Atmos. Environ.,
ST99-24,32.875,-117.241,H2O2_trop,34.3,,19,,Savarino and Thiemens (1999) Atmos. Environ.,
