sample_ID,experiment_type,exp_nr,wavelength,T_C,compound,d18O_mean,d18O_std,d17O_mean,d17O_std,reference,notes
Cea_107.61nm_25C_14,CO_decomposition_photo,1,107.61,25,CO2,1155.3,,2136.9,,Chakraborty et al. (2008) Science,
Cea_107.61nm_25C_15,CO_decomposition_photo,1,107.61,25,CO2,3792.6,,8086,,Chakraborty et al. (2008) Science,
Cea_105.17nm_25C_8,CO_decomposition_photo,2,105.17,25,CO2,1081.2,,1823,,Chakraborty et al. (2008) Science,
Cea_105.17nm_25C_2,CO_decomposition_photo,2,105.17,25,CO2,470.1,,767.9,,Chakraborty et al. (2008) Science,
Cea_105.17nm_25C_3,CO_decomposition_photo,2,105.17,25,CO2,810.5,,1367.9,,Chakraborty et al. (2008) Science,
Cea_105.17nm_25C_6,CO_decomposition_photo,2,105.17,25,CO2,1079.3,,1809.7,,Chakraborty et al. (2008) Science,
Cea_105.17nm_25C_7,CO_decomposition_photo,2,105.17,25,CO2,1407,,2445.9,,Chakraborty et al. (2008) Science,
Cea_105.17nm_-66C_4,CO_decomposition_photo,2,105.17,-66,CO2,2170.9,,3108.1,,Chakraborty et al. (2008) Science,
Cea_105.17nm_-66C_9,CO_decomposition_photo,2,105.17,-66,CO2,3676.4,,5613.9,,Chakraborty et al. (2008) Science,
Cea_105.17nm_-66C_11,CO_decomposition_photo,2,105.17,-66,CO2,4081.9,,6257.6,,Chakraborty et al. (2008) Science,
Cea_97.03nm_25C_12,CO_decomposition_photo,3,97.03,25,CO2,978.7,,1161.2,,Chakraborty et al. (2008) Science,
Cea_94.12nm_25C_1,CO_decomposition_photo,4,94.12,25,CO2,258.8,,159.7,,Chakraborty et al. (2008) Science,
Cea_94.12nm_25C_10,CO_decomposition_photo,4,94.12,25,CO2,11.3,,7.6,,Chakraborty et al. (2008) Science,
Cea_94.12nm_-66C_13,CO_decomposition_photo,4,94.12,-66,CO2,718.6,,446.1,,Chakraborty et al. (2008) Science,
Cea_107.61nm_25C_1,CO_decomposition_photo,5,107.61,25,CO2,159.8608024,,200.5742692,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_25C_2,CO_decomposition_photo,5,107.61,25,CO2,685.5636192,,966.1946009,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_25C_3,CO_decomposition_photo,5,107.61,25,CO2,1155.235504,,2136.79005,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_25C_4,CO_decomposition_photo,5,107.61,25,CO2,3792.729106,,8085.684109,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_25C_1,CO_decomposition_photo,5,107.61,25,O,268.7091928,,375.6137567,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_25C_2,CO_decomposition_photo,5,107.61,25,O,1318.684502,,1906.937147,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_25C_3,CO_decomposition_photo,5,107.61,25,O,2141.812931,,4248.27788,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_25C_4,CO_decomposition_photo,5,107.61,25,O,7147.409305,,16146.60166,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_-78C_1,CO_decomposition_photo,6,107.61,-78,CO2,160.5569277,,206.9542047,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_-78C_2,CO_decomposition_photo,6,107.61,-78,CO2,2668.196044,,4679.709006,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_-78C_3,CO_decomposition_photo,6,107.61,-78,CO2,1564.850007,,3043.456923,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_-78C_1,CO_decomposition_photo,6,107.61,-78,O,249.5706346,,358.6614675,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_-78C_2,CO_decomposition_photo,6,107.61,-78,O,5285.214686,,9334.625951,,Chakraborty et al. (2012) JCP,
Cea_107.61nm_-78C_3,CO_decomposition_photo,6,107.61,-78,O,3078.380609,,6061.800166,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_1,CO_decomposition_photo,7,105.17,25,CO2,293.9505752,,446.721555,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_2,CO_decomposition_photo,7,105.17,25,CO2,107.1620172,,134.9629418,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_3,CO_decomposition_photo,7,105.17,25,CO2,1081.315197,,1822.999579,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_4,CO_decomposition_photo,7,105.17,25,CO2,430.8948245,,767.9134334,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_5,CO_decomposition_photo,7,105.17,25,CO2,810.4944776,,1367.891745,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_6,CO_decomposition_photo,7,105.17,25,CO2,1079.46365,,1809.762612,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_7,CO_decomposition_photo,7,105.17,25,CO2,1407.045351,,2445.95128,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_1,CO_decomposition_photo,7,105.17,25,O,810.4944776,,1177.549147,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_2,CO_decomposition_photo,7,105.17,25,O,163.3456094,,244.4578833,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_3,CO_decomposition_photo,7,105.17,25,O,2001.16336,,3620.486488,,Chakraborty et al. (2012) JCP,
Cea_105.17nm_25C_4,CO_decomposition_photo,7,105.17,25,O,841.3518446,,1510.294307,,Chakraborty et al. (2012) JCP,
