sample_ID,age_Ma,lat_N_dd,long_E_dd,d18O_mean,d18O_std,Dp17O_5305_mean,Dp17O_5305_std,lithology,lab,reference,notes
Cea19-1,1.00E-05,36.4,-114.65,2.9,0.5,-0.02,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-2,1.00E-05,34.75,-116.37,9,0.5,-0.185,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-3,1.00E-05,36.24,-116.81,,,-0.197,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-4,1.00E-05,79.8,-90.9,9.1,0.5,-0.058,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-5,1.00E-05,79.8,-90.9,9.6,0.5,-0.154,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-6,1.00E-05,-33.9,138.7,12.1,0.5,-0.087,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-7,1.00E-05,-33.9,138.7,5.8,0.5,-0.174,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-8,1.00E-05,-33.9,138.7,11.7,0.5,-0.346,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names; age assumed ~10 years"
Cea19-9,6.00E+00,37.1,-2.1,12.1,0.5,-0.112,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-10,1.40E+01,75.4,-89.8,-19.7,0.5,0.058,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-11,1.40E+01,75.4,-89.8,-14.3,0.5,0.028,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-12,1.40E+01,75.4,-89.8,-14.6,0.5,0.028,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-13,1.40E+01,75.4,-89.8,-12.2,0.5,0.028,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-14,1.40E+01,75.4,-89.8,-13.1,0.5,0.02,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-15,1.40E+01,75.4,-89.8,-14.5,0.5,-0.021,0.05,Terrestrial Sulfates,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-16,5.45E+02,31.7,54.6,,,-0.258,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-17,5.45E+02,31.7,54.6,11.4,0.5,-0.165,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-18,5.45E+02,31.7,54.6,13.2,0.5,-0.246,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-19,5.45E+02,31.7,54.6,14,0.5,-0.286,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-20,5.45E+02,31.7,54.6,17.7,0.5,-0.237,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-25,5.60E+02,60.3,100.5,8.7,0.5,-0.179,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-26,5.60E+02,60.3,100.5,9.1,0.5,-0.22,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-27,5.60E+02,60.3,100.5,8.8,0.5,-0.149,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-28,5.60E+02,60.3,100.5,9.8,0.5,-0.2,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-29,5.60E+02,60.3,100.5,10.2,0.5,-0.128,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-30,5.80E+02,-18.6,126.8,16.6,0.5,-0.261,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-31,5.80E+02,-18.6,126.8,22.7,0.5,-0.161,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-32,6.35E+02,-18.6,126.8,24.6,0.5,-0.313,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-33,6.35E+02,-18.6,126.8,13.6,0.5,-0.319,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-34,6.35E+02,-18.6,126.8,15.2,0.5,-0.255,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-35,6.35E+02,-18.6,126.8,19.7,0.5,-0.186,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-36,6.35E+02,-18.6,126.8,12.9,0.5,-0.127,0.05,CAS,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-37,7.50E+02,64,-126,21,0.5,-0.242,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-38,7.50E+02,64,-126,21.6,0.5,-0.194,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-39,7.50E+02,64,-126,20.7,0.5,-0.23,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-40,7.50E+02,64,-126,,,-0.17,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-41,7.50E+02,64,-126,17.5,0.5,-0.214,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-42,7.50E+02,64,-126,20.6,0.5,-0.263,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-43,7.50E+02,64,-126,19.7,0.5,-0.233,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-44,7.90E+02,71,-110,13.2,0.5,-0.223,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-45,7.90E+02,71,-110,12.1,0.5,-0.18,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-46,7.90E+02,71,-110,12.7,0.5,-0.218,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-47,7.90E+02,71,-110,12,0.5,-0.206,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-48,7.90E+02,71,-110,14.8,0.5,-0.18,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-49,7.90E+02,71,-110,22.3,0.5,-0.153,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-50,7.90E+02,71,-110,13.6,0.5,-0.183,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-51,7.90E+02,71,-110,30.6,0.5,-0.192,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-52,7.90E+02,71,-110,10.8,0.5,-0.287,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
Cea19-53,7.90E+02,71,-110,15.3,0.5,-0.237,0.05,Gypsum,B,Crockford et al. (2019) Chem. Geol.,"No sample IDs given, so generated here; GPS coordinates approximate based on formation names"
